BloodID,BirdID,BloodSource,CatchID,BloodTubeNumber,DoNotEditMe,MergeStatus
187,1821,A,2811,1188,-852118785,
188,1598,A,2990,1189,-2037798401,
189,1822,A,2823,1190,-1020672769,
190,1533,A,2927,1191,1131770879,
191,1823,A,2824,1192,-804362497,
192,1491,A,2909,1193,-238055937,
193,1825,A,2826,1194,1709709567,
194,1826,A,2827,1195,-309692417,
195,1824,A,2820,1196,1524587263,
196,1827,A,2828,1199,-164843009,
197,1828,A,2822,1200,-1436504833,
198,1829,A,2829,1201,1802550271,
199,1833,A,2838,1202,1060933375,
200,1831,A,2821,1203,1860507135,
201,1832,A,2813,1204,247955711,
202,1834,A,2897,1205,311181311,
203,1835,A,2885,1206,217711359,
204,1836,A,2886,1207,-58934785,
205,1837,A,2887,1208,-1047489281,
206,1838,A,2888,1209,662766591,
207,1839,A,2889,1210,-2043955457,
208,1840,A,2890,1211,-1464361473,
209,1841,A,2891,1212,-1250957057,
210,1842,A,2892,1213,-1573713921,
211,1213,A,2920,1214,1394977535,
212,1846,A,2896,1215,-895892993,
213,1844,A,2894,1216,-178684673,
214,1845,A,2908,1217,835079167,
215,1843,A,2893,1218,-159654145,
216,1503,A,2924,1219,711403007,
217,507,A,2944,1220,947998975,
218,1847,A,2884,1221,-2137075713,
219,1848,A,2898,1222,16929535,
220,1850,A,2900,1223,1705232895,
221,1851,A,2901,1225,-1235524353,
222,1849,A,2899,1226,-1201630209,
223,1852,A,2902,1227,-2050160897,
224,335,A,2939,1228,-1827426817,
225,1857,A,2907,1229,983283967,
226,1854,A,2904,1230,1173329919,
227,1855,A,2905,1231,-835716353,
228,1856,A,2906,1232,649777663,
229,1853,A,2903,1233,2033601791,
230,1858,A,2872,1234,-579871745,
231,1606,A,3098,1235,1304375039,
232,1879,A,3097,1236,366818815,
233,1501,A,3118,1237,-1570823937,
234,1774,A,3099,1238,-1102749697,
235,1864,A,3082,1239,-699489537,
236,1865,A,3083,1240,989780479,
237,1866,A,3084,1241,915027199,
238,458,A,3109,1242,924066815,
239,1773,A,3110,1243,200431359,
240,1409,A,3111,1244,-102515201,
241,1867,A,3085,1245,443255039,
242,1698,A,3112,1246,1774200831,
243,1868,A,3086,1247,419318527,
244,832,A,3102,1248,596632063,
245,1769,A,3114,1249,-352903937,
246,1770,A,3113,1250,1332571135,
247,1870,A,3088,1251,-1576632577,
248,1356,A,3115,1252,440878591,
249,1869,A,3087,1253,-1855917825,
250,1872,A,3090,1254,-58724353,
251,1871,A,3089,1255,-102829313,
252,1166,A,3103,1256,898492927,
253,1873,A,3091,1257,387777791,
254,1550,A,3104,1258,614183935,
255,1874,A,3092,1259,-1784961281,
256,1669,A,3116,1260,1713884671,
257,1788,A,3106,1261,-1176545025,
258,1875,A,3093,1262,-559630337,
259,1876,A,3094,1263,-1064264961,
260,862,A,3117,1264,437842431,
261,1878,A,3096,1265,1067183359,
262,1785,A,3107,1266,-1463878657,
263,544,A,3122,1267,-1873686785,
264,1890,A,3124,1268,1621448191,
265,1884,A,3134,1269,-1970880257,
266,1882,A,3132,1270,-1404141569,
267,1509,A,3105,1271,414401279,
268,1883,A,3133,1272,1313929727,
269,1877,A,3095,1273,1830016255,
270,1401,A,3119,1274,1106723839,
271,1381,A,3123,1275,-540477697,
272,1616,A,3126,1276,-1595941377,
273,1885,A,3135,1277,-1107875585,
274,1881,A,3125,1278,-1247983617,
275,1886,A,3136,1279,-1847137537,
276,1591,A,3129,1280,-1554644481,
277,1358,A,3128,1281,-1406878465,
278,1887,A,3137,1282,1248103423,
279,1597,A,3127,1283,-173990145,
280,1833,A,3130,1284,1375167999,
281,1739,A,3131,1285,1389400319,
282,1888,A,3138,1286,2125533183,
283,1889,A,3139,1287,533435135,
284,2959,A,3423,1288,-1102575105,
285,2960,A,3424,1289,-1922128641,
286,1723,A,3426,1290,-1876503553,
287,1726,A,3422,1291,-411416833,
288,1702,A,3427,1292,-1291063809,
289,2964,A,3431,1293,196278527,
290,2963,A,3430,1294,1068095487,
291,2965,A,3432,1295,-1711195393,
292,1042,A,3514,1296,-1740172801,
293,1485,A,3518,1297,-1517187841,
294,2976,A,3443,1298,-715252737,
295,2973,A,3440,1299,-285970689,
296,1767,A,3519,1300,-1757579777,
297,1610,A,3516,1301,-281124609,
298,1806,A,3515,1302,1688707071,
299,1608,A,3425,1303,1009246975,
300,2967,A,3434,1304,-26011137,
301,2962,A,3429,1305,221082879,
302,1222,A,3643,1306,1344955391,
303,2968,A,3435,1307,-374368513,
304,2966,A,3433,1308,-441713153,
305,2970,A,3437,1309,-938292993,
306,2978,A,3445,1310,231368703,
307,1368,A,3567,1311,635407103,
308,2969,A,3436,1312,300687871,
309,2971,A,3438,1313,-522035969,
310,2975,A,3442,1314,715893759,
311,1790,A,3629,1315,-649347329,
312,2974,A,3441,1316,427263487,
313,1532,A,3517,1317,-1529859841,
314,2972,A,3439,1318,-1892536321,
315,601,A,3615,1319,-624413953,
316,1696,A,3569,1320,-942528001,
317,2980,A,3447,1321,-1051704065,
318,1188,A,3614,1322,50459647,
319,2999,A,3646,1323,1667819263,
320,2984,A,3451,1324,-1044378113,
321,2982,A,3449,1325,1477875967,
322,2983,A,3450,1326,-251725825,
323,1685,A,3520,1328,-1031677185,
324,2981,A,3448,1329,1766142463,
325,2977,A,3444,1330,1394027775,
326,2979,A,3446,1331,1800223743,
327,601,A,3615,1332,1369902847,
328,1670,A,3620,1333,27629055,
329,3023,A,3682,1334,-125435649,
330,1671,A,3618,1335,1867563007,
331,1847,A,3617,1336,-1465089281,
332,1833,A,3619,1337,325401087,
333,1396,A,3732,1338,-1093200641,
334,609,A,3799,1339,1772979199,
335,3010,A,3669,1340,296105727,
336,2997,A,3644,1341,273161727,
337,825,A,3648,1342,1623091455,
338,3009,A,3668,1343,-95975425,
339,1218,A,3736,1344,1021848319,
340,1707,A,3740,1345,928137727,
341,1500,A,3647,1346,825228543,
342,1359,A,3649,1347,-129840129,
343,1721,A,3735,1348,889609983,
344,3017,A,3676,1350,-1194875393,
345,3007,A,3666,1352,-1352675073,
346,3096,A,3753,1355,-1241296897,
347,2998,A,3645,1357,-1831546113,
348,1768,A,3625,1359,439110143,
349,1244,A,3624,1360,1522656511,
350,1742,A,3627,1361,-2060643329,
351,1782,A,3626,1362,-244873473,
352,1825,A,3622,1363,-633065985,
353,3011,A,3670,1364,-955631361,
354,4266,E,,1365,2057574399,
355,3008,A,3667,1366,-1575847169,
356,1509,A,3793,1367,1427329535,
357,595,A,3637,1368,-265499393,
358,2989,A,3456,1369,1921801215,
359,1346,A,3635,1370,-1603686657,
360,1739,A,3632,1371,-404900353,
361,2985,A,3452,1372,-832724737,
362,2987,A,3454,1373,1414127615,
363,2986,A,3453,1374,-968809729,
364,1731,A,3628,1375,1428642303,
365,1743,A,3630,1376,705737983,
366,1773,A,3636,1377,-1769954305,
367,1804,A,3638,1378,1068291839,
368,2988,A,3455,1379,1756642815,
369,1275,A,3640,1380,-1342568193,
370,1750,A,3651,1381,51685375,
371,2991,A,3458,1382,1057016575,
372,912,A,3652,1383,-611819009,
373,1193,A,3641,1384,1158520063,
374,2990,A,3457,1385,-1154880513,
375,1698,A,3690,1386,-254738689,
376,1766,A,3655,1387,2011678207,
377,1867,A,3693,1388,-1702924033,
378,1361,A,3687,1389,2065985535,
